name,formula,rt
MHCer(d18:1/C24:0),C48H93N1O8,4.51
SM(d18:0/C16:0),C39H81N2O6P1,4.47
SM(d18:1/C16:0),C39H79N2O6P1,4.58
SM(d18:1/C16:1),C39H77N2O6P1,4.6
SM(d18:1/C18:0),C41H83N2O6P1,4.57
SM(d18:1/C18:1),C41H81N2O6P1,4.58
SM(d18:1/C20:1),C43H85N2O6P1,4.58
SM(d18:1/C22:1),C45H89N2O6P1,4.58
SM(d18:1/C24:0),C47H95N2O6P1,4.55
SM(d18:1/C24:1),C47H93N2O6P1,4.57
SM(d18:1/C25:1),C48H95N2O6P1,4.56
SM(d18:1/C26:0),C49H99N2O6P1,4.52
SM(d18:1/C26:1),C49H97N2O6P1,4.56
LPC 16a:0,C24H50N1O7P1,4.8
LPC 16a:1,C24H48N1O7P1,4.82
LPC 18a:1,C26H52N1O7P1,4.81
LPC 18a:2,C26H50N1O7P1,4.83
LPC 18a:3,C26H48N1O7P1,4.86
LPC 20a:0,C28H58N1O7P1,4.74
LPC 20a:3,C28H52N1O7P1,4.83
LPC 20a:4,C28H50N1O7P1,4.86
PE 32a:0,C37H74N1O8P1,5.39
PE 32a:1,C37H72N1O8P1,5.41
PE 34a:1,C39H76N1O8P1,5.4
PE 34a:2,C39H74N1O8P1,5.42
PE 34p:2,C39H74N1O7P1,5.3
PE 36a:0,C41H82N1O8P1,5.33
PE 36a:1,C41H80N1O8P1,5.39
PE 36a:2,C41H78N1O8P1,5.41
PE 36a:3,C41H76N1O8P1,5.44
PE 36a:5,C41H72N1O8P1,5.48
PE 38a:1,C43H84N1O8P1,5.39
PE 38a:2,C43H82N1O8P1,5.38
PE 38a:3,C43H80N1O8P1,5.41
PE 38a:5,C43H76N1O8P1,5.47
PE 38a:6,C43H74N1O8P1,5.49
PE 40a:1,C45H88N1O8P1,5.37
PE 40a:2,C45H86N1O8P1,5.38
PE 40a:3,C45H84N1O8P1,5.38
PE 40a:4,C45H82N1O8P1,5.41
PE 40a:5,C45H80N1O8P1,5.46
PE 40a:6,C45H78N1O8P1,5.47
PE 40a:7,C45H76N1O8P1,5.49
PE 42a:1,C47H92N1O8P1,5.35
PE 42a:5,C47H84N1O8P1,5.45
PE 42a:6,C47H82N1O8P1,5.46
PE 42a:7,C47H80N1O8P1,5.51
LPE 16a:0,C21H44N1O7P1,6.03
LPE 18a:0,C23H48N1O7P1,6
